文本,正向情感比率,負向情感比率,情感分數
鬼島 棒棒,0.0,0.0,0.0
正解,0.0,0.0,0.0
阿就 不要 租 關 大 家 什麼 事,0.0,0.125,0.75
早 期 大戶 持有 超過 30 年 了 吧,0.0,0.0,1.0
空屋 稅 課 下去,0.0,0.0,0.0
那 大 家 現 在 都 不要 去 東 區 消 費 了 啊 讓,0.0,0.06666666666666667,0.75
他 閒 置 個 一 兩 年,0.0,0.0,0.0
有錢 囂張 什麼 有錢 人 全 部 去 死,0.2222222222222222,0.2222222222222222,3.325
建 議 台灣 有 累 進 空屋 税,0.0,0.125,0.65
難 怪 經濟 不會 好,0.2,0.4,2.8
空屋 屯 房 稅 課 下去 就好 了,0.0,0.0,0.0
ㄎㄎ 撐 不下 去 不 是 哭 政府 就 是 賣 房 產,0.0,0.07692307692307693,0.8500000000000001
媽的 空屋 稅 啊 幹你娘 資進黨,0.0,0.16666666666666666,0.30000000000000004
政府 有 課稅 嗎 財 政 部 所得 稅 呢,0.0,0.0,0.0
不然 天堂 m 那些 課長 哪 有錢 做 紫裝,0.2222222222222222,0.0,2.85
豪華 稅 如何,0.3333333333333333,0.0,1.45
不錯 學 蘋果 那 套 就 對 了 降價 求 售 反,0.16666666666666666,0.0,2.675
而 讓 人覺 得 這裡 沒 希望,0.14285714285714285,0.0,1.5
垃圾,0.0,1.0,0.30000000000000004
讓 我們 繼 續 檢 討 公務員 領太 多,0.0,0.0,0.0
平均 五萬 感謝 這些 人,0.2,0.0,1.6
奴隸 就 安分 點 上 繳 租金 給 房東 吧,0.0,0.1,0.55
垃圾 房東 市場 都 要 被 搞爛 政府 還 不開,0.0,0.1,0.30000000000000004
罰,0.0,0.0,0.0
居住 正義 操 你 媽的,0.2,0.4,1.9000000000000001
這 種 不 抽 重 稅,0.0,0.0,0.0
沒錢 就 別 租 啊 一 堆 詛咒 窮 酸 真 有趣,0.08333333333333333,0.25,3.35
怪 不得 物價 一 直上 漲,0.0,0.3333333333333333,1.35
廠商 有 點 骨氣 好 嗎 就 不要 跟 她 租 啊,0.08333333333333333,0.08333333333333333,2.2
持有 稅 太 低 導 致 一 堆 噁心 房東,0.0,0.1,0.30000000000000004
國民 兩 擋 然後 怪 柯 真 有 臉,0.0,0.1111111111111111,0.6
垃圾 有錢 人 全 家 死光,0.16666666666666666,0.3333333333333333,1.9000000000000001
爽 月 收 屌 打 多 數人 一 輩子 虧 幾 個 月 沒 差,0.06666666666666667,0.13333333333333333,2.7
我 再 租 兩 年 繼 續 屌 打,0.0,0.1111111111111111,0.55
年輕人 自己 不爭氣 學學 這 個 房東 豪 嗎,0.0,0.0,0.0
月 賺 千萬 請問 我 的 精液 有 多 珍貴 要,0.09090909090909091,0.0,1.5
射 給 何等 美女 才 行 呢,0.0,0.0,0.0
不要 去 東 區 養 房東 難 停車 東西 又 貴,0.0,0.18181818181818182,2.275
政府 是 植物 人,0.0,0.0,0.0
何時 學 對岸,0.0,0.0,0.0
哪裡 賣 3千 的 都馬 夜市 貨,0.0,0.0,0.0
那 還 有 一 堆 盤子 給 房東 爽 賺,0.1,0.0,1.55
就 是 這些 無 生產 力 的 拉機 拖累 經濟,0.1,0.1,1.85
實際上 你 一 降 整 個 商 圈 就 low 了 吸引 些,0.07692307692307693,0.0,1.25
爛 店,0.0,0.5,0.44999999999999996
官 商 本 一 家 課 了 稅 又 不會 進 官員 口,0.0,0.07692307692307693,0.75
袋 利益 輸 送 才 會 好 嗎,0.25,0.125,3.25
房東 囂張,0.0,0.5,0.575
又 帶 不進 棺材,0.0,0.0,0.0
不 降價 再 來 就 是 惡性 循 環 了,0.0,0.1,0.44999999999999996
有人 知道 是 哪 幾 家 店面 嗎,0.125,0.0,1.1
房屋 稅 太 低 政府 在 睡,0.0,0.0,0.0
台北 東 區 會 不會 到 最後 變 成 柯 p 要負 責,0.0,0.07692307692307693,0.75
到 底 什麼 時 候 要 提高 囤 房 稅 呢 各 位 議,0.07142857142857142,0.0,1.2
員 立委,0.0,0.0,0.0
關鍵 字 設立 公司 稅,0.0,0.0,0.0
呵呵 議員 還 敢 降 囤 房 稅,0.125,0.0,1.25
民 眾 都 沒 地方 住 了 還 一 堆 擋 囤 房 稅 的,0.0,0.0,0.0
果 然 不 是 南 部 就 沒 人酸 了,0.0,0.0,0.0
降價 就 是 整 個 價 值 被 拉低 我 不缺 錢 我 幹 嘛 這,0.0,0.0625,0.0
麼 蠢,0.0,0.5,0.5
能 怎麼 辦 期待 dpp 打房 嗎,0.14285714285714285,0.0,1.3
空屋 稅 假 議 題 阿一 堆 方法 可以 解,0.0,0.0,0.0
設立 一 個 空 頭 公司 在 空屋 裡 面 不 就好 了,0.0,0.0,0.0
房東 這 個 職業 到 底 對 國 家 進步 有 什麼 貢獻 要,0.21428571428571427,0.0,4.35
如此 保障 他們 的 利益,0.2,0.0,1.3
階級 流 動,0.0,0.0,0.0
垃圾 政府 這些 不查 一 查,0.0,0.16666666666666666,0.30000000000000004
他們 這樣 對 社 會 到 底 有 什麼 貢獻,0.2,0.0,2.95
對 國 家 進步 有 貢獻 x,0.42857142857142855,0.0,4.35
對 政 客 荷包 有 貢獻 o,0.2857142857142857,0.0,2.95
有錢 怒 噓,0.3333333333333333,0.3333333333333333,1.7000000000000002
就 持有 成本 太 低 了 阿,0.0,0.0,0.0
有錢 就 是 任性,0.25,0.25,1.9500000000000002
希望 變 成 凶宅,0.25,0.0,1.5
這 新 聞 就 是 房東 在 喊 救命 啊,0.0,0.1,0.6
不 須 要 的 佔 一 堆 須 要 的 連 廁所 都 買 不,0.0,0.0,0.0
國 稅 局 這裡,0.0,0.0,0.0
所得 稅,0.0,0.0,0.0
課 五千萬 閒 置 稅 啦,0.0,0.0,0.0
高價 租金 應 提高 課稅 不然 這些 包 租 公 婆 都 米蟲,0.15384615384615385,0.0,2.25
空屋 稅 定 再 高 計 價 基 底 低 一樣 沒 啥 用 阿,0.0,0.0,0.0
這 種 大 金額 的 租 很 久 是 正常 的 好 嗎,0.15384615384615385,0.0,2.65
要管 制 就 要 讓 該 地 產 實價 計 稅 但 這 條 沒 人,0.0,0.0,0.0
高價 租金 應 提高 課稅 不然 這些 包 租 公 婆 都 米蟲,0.15384615384615385,0.0,2.25
這 種 新 聞 就 是 想帶 風 向 搞 新 的 政策,0.0,0.0,0.0
碰 啦 任何 有 房 地 產 的 人 除 非 跟 錢 過不去 不然,0.0,0.06666666666666667,0.7
廢物,0.0,1.0,0.475
一 堆 蠢 的 附和,0.0,0.2,0.5
跟 本 不會 想用 實價 課稅,0.0,0.16666666666666666,0.75
民進黨 真 d 噁心,0.0,0.25,0.30000000000000004
小哥,0.0,0.0,0.0
死 米蟲,0.0,0.5,0.050000000000000044
順便 搞 中間人 之類 的,0.0,0.0,0.0
稅金 該 找 這些 房東 而 不 是 靠 中 產 階,0.0,0.0,0.0
級,0.0,0.0,0.0
課 重 稅 政府 死 了 嗎 幹,0.0,0.25,0.050000000000000044
說 個 笑話 柯 痞 打房 有成 這 就 跟 馬 的,0.08333333333333333,0.0,1.2
空屋 稅 放 台 夾 娃娃 機 就 不 算 空屋 了 要 課,0.0,0.0,0.0
經濟 成長 一樣 意 思 嘻嘻,0.3333333333333333,0.16666666666666666,3.8
稅 就 是 持有 成本 全 抓來 上漲,0.0,0.0,0.0
三 個 月 就 可以 賺到 有人 一 輩子 才 賺 的 到 錢,0.0,0.0,0.0
月 收 千萬 但 房價 數 十億 怎麼 不 講,0.0,0.0,0.0
打房,0.0,0.0,0.0
持有 成本 上漲 就 是 台北 市 有 房 族 要出 來哭,0.0,0.0,0.0
妖 了,0.0,0.0,0.0
就 讓 房東 十 間 全 租 不出 去 啊,0.0,0.0,0.0
dpp 是 房東 的 好 朋友,0.3333333333333333,0.0,2.9
貪婪 無 上限 的 房東 遲 早 遭到 報應,0.0,0.2222222222222222,0.825
調 高空 屋 稅 再 漲 房租 就好 了 又 不 是,0.0,0.0,0.0
自耕 農,0.0,0.0,0.0
應 該 將 閒 置 成本 大幅 調 漲 空間 閒 置,0.0,0.0,0.0
不利 經濟 整體 發展 持有 跟 閒 置 成本 是,0.1,0.1,1.9500000000000002
要 打 將軍 結 果 將軍 沒死 死 的 是 上 兵,0.0,0.16666666666666666,0.6000000000000001
等 逛 街 人潮 都 不 去 東 區 再 黃金 的 店面 租 不出,0.06666666666666667,0.0,1.15
去 難 道 等 都 更 嗎,0.0,0.0,0.0
應 該 是 有錢 到 三 輩子 花 不完 啦,0.1,0.0,1.35
口袋 超 深 租 不出 去 也 不 急 你 奈 他 何,0.0,0.0,0.0
垃圾 房東,0.0,0.5,0.30000000000000004
幹你娘 生 兒子 沒屁 眼,0.0,0.0,0.0
就 是 跟 你 講 盤子 很多 總會 有大 戶 來 砸 錢,0.07692307692307693,0.0,1.15
超爽 就 是 不 租 給 低端,0.0,0.0,0.0
看 推文 發現 一 堆人 仇富 仇 到 是 分 非 不,0.0,0.08333333333333333,0.35
持有 稅 低成 這樣 炒房 的 爽 r,0.125,0.0,1.55
那 就 商 圈 轉移 吧,0.0,0.0,0.0
台灣 房東 多 的 是 吃 相難 看 的 租金 無限 漲,0.0,0.0,0.0
持有 成本 低 啊,0.0,0.0,0.0
炒房 垃圾 人,0.0,0.3333333333333333,0.30000000000000004
北 部 不意 外,0.0,0.0,0.0
政府 沒有 規 定 制止 這 種 垃圾 行 為,0.0,0.3,2.0
不 就 中華民國 素 質 養出 來 的 郊 區 蓋 個 捷,0.0,0.0,0.0
運 延伸 就 在 那邊 靠北 靠 母 然後 才 在 怪 為,0.0,0.07692307692307693,0.6
什麼 大 家 都 想 擠 市 中心 房價 高 什麼 都 怪,0.07692307692307693,0.07692307692307693,1.65
政府 真的 很好 笑,0.25,0.0,1.45
屁 啦 才 一 個 月 千萬 就 最 大 房東 笑死,0.08333333333333333,0.0,1.1
推 巨嬰 一 直 怪 政府 明 明 自己 就 愛 這樣,0.08333333333333333,0.08333333333333333,2.4
稅 課 下去 就 行 了 但 政 客 不 敢,0.0,0.0,0.0
年 漲 5 侯 友宜 精神 領袖,0.0,0.0,0.0
稅 咧,0.0,0.0,0.0
有錢 就 是 任性,0.25,0.25,1.9500000000000002
店面 刻 空屋 稅 克 重 一 點 物價 就 會 跌 了,0.0,0.0,0.0
這 種 機會 不 是 屬 於 我 的,0.1111111111111111,0.0,1.3
爽死,0.0,0.0,0.0
租 不出 去 加價 租 房價 井 噴,0.0,0.0,0.0
幹有 夠 羨慕,0.3333333333333333,0.0,1.25
推 gemini 2010 曾經 當作 店面 使用 的 空屋,0.0,0.0,0.0
應 該 增加 持有 成本,0.2,0.0,1.2
賠錢 不 打緊 少 賺 要 人命 啊,0.0,0.125,0.35
立 法 委員 選來 不立 法 整體 耍 猴 戲 要,0.0,0.0,0.0
看 猴子 我 不會 去 動物園,0.0,0.16666666666666666,0.75
幹 她 今年 可以 買 一 台 f 16 玩 玩 啊,0.16666666666666666,0.08333333333333333,2.3
沒有 個大 動盪 實在 無法 改變 現況,0.14285714285714285,0.42857142857142855,3.35
空屋 税 砸 下去 閒 置 越多 年 稅 率 越 高 最重,0.0,0.0,0.0
自助 餐 後 天 不 努力 啊 不然 母 語 大對 決 就 失效,0.14285714285714285,0.07142857142857142,3.3499999999999996
到 底 在 眼紅 三 小,0.0,0.0,0.0
有 小學生 數學 程度 就 知道 幾 年 不 租 也 沒,0.08333333333333333,0.0,1.1
從 古 到 今 有 多少 朝代 都 是 地主 吸血 吸 垮,0.0,0.0,0.0
不學 日本 房屋 會 折舊 的話 早 晚 高 房價,0.0,0.1,0.75
高 房租 會 拖垮 台灣 經濟 然後 整 個 國 家,0.0,0.09090909090909091,0.5
崩潰,0.0,1.0,0.44999999999999996
不 做 事光 收 租 的 人 拿 最多 這樣 經濟 肯,0.0,0.0,0.0
定 完蛋,0.0,0.0,0.0
空屋 成本 真的 很 低 啊 該 打,0.0,0.125,0.55
當初 西 區 也 是 這樣 沒 差 沒 差 商 圈 就 自然 轉,0.06666666666666667,0.13333333333333333,2.25
移 啦,0.0,0.0,0.0
大 家 還是 認命 點 吧 科科,0.0,0.14285714285714285,0.825
抽 房屋 稅 救 台灣,0.0,0.0,1.0
房東 有 沒有 差 是 他 的 事 重 點 是 商 圈 在 轉移,0.0,0.13333333333333333,1.4500000000000002
愛 往 市區 擠 活 該 被 房租 壓 死,0.1,0.1,1.8499999999999999
房東 議員 跟 政府 都 花 錢 喬 好 了,0.1,0.0,1.45
那 就 空屋 稅 抽 重 一 點 吧,0.0,0.0,0.0
垃圾 王八蛋,0.0,1.0,0.4
台灣 真的 要 被 議員 立委 弄倒 了 真 希望,0.1,0.0,1.5
來 個 世 界 大戰 就 可以 回 穩 了,0.0,0.0,0.0
都 靠 一 堆 窮人 養,0.0,0.16666666666666666,0.65
空屋 稅 跟 空地 稅 一 徵 就 會 動搖 國本 跟 黨本,0.0,0.07692307692307693,0.75
沒有 政 客 敢 啦,0.0,0.2,0.8500000000000001
台灣 人民 就 是 奴 啊 政府 就 是 看準 你們 不管,0.0,0.08333333333333333,0.8500000000000001
反抗 啦,0.0,0.5,0.65
應 立 法 增 稅,0.0,0.0,0.0
囤 著 又 不用 繳 多少 錢,0.0,0.0,0.0
炒房 政府 不肯 調 高 稅 率 因為 政 客 自,0.0,0.09090909090909091,0.875
己 也 在 炒,0.0,0.0,0.0
說 房東 垃圾 的 才 好笑 人 家 不偷 不騙 不 搶,0.08333333333333333,0.08333333333333333,1.6
一 個 月 賺 一千萬 是 他 的 本事,0.0,0.0,0.0
有人 說 東 區 房東 ooo 改 逛 信義區 西 區,0.0,0.0,0.0
買 房子 也 是 要成 本 的 誰 說 他 爽爽 賺,0.0,0.0,0.0
奇怪 難 道 信義區 跟 西 區 的 房東 就 比較 仁慈,0.08333333333333333,0.08333333333333333,2.5
差別 在於 人 家 投 資 眼光 精準 早早 就 進 場,0.08333333333333333,0.08333333333333333,2.425
沒錢 沒 本事 的 就 是 看 人 家 躺著 收 千萬 月 租,0.0,0.0,0.0
自由 經濟 資本 主 義 就 是 這樣,0.25,0.0,2.75
結 果 政府 說 軍公 教 是 米蟲,0.0,0.0,0.0
轉型 正義 比 較重 要,0.2,0.0,1.35
資本 主 義 就 是 如此 阿去 古 巴 大 家 都 一樣,0.07692307692307693,0.0,1.35
快樂 指數 反而 高 一起 diy 破 車,0.125,0.0,1.55
沒在 怕 報出 來 幹 嘛 以為 大 家 很 在乎 嗎,0.08333333333333333,0.16666666666666666,1.7
就是 租 不出 去 會 怕 才 要 炒 新 聞 嘛 當 大 家,0.0,0.06666666666666667,0.55
白癡 膩,0.0,1.0,0.9500000000000001
當 錢 都 流入 這 種 產值 只 有 垃圾 的 人手 裡,0.0,0.07692307692307693,0.30000000000000004
天 龍 國 要 亡 了,0.0,0.0,0.0
說 個 笑話 居住 正義,0.4,0.0,2.55
說 個 笑話 政府 打房,0.2,0.0,1.2
修 法用 重 稅 來 治 少 數人 謀 求 多 數人 福祉,0.07692307692307693,0.0,1.3
無限 期 閒 置 每 年 重 稅 典型 占 著 茅坑,0.0,0.0,0.0
不意 外,0.0,0.0,0.0
閒 置 店面 才 6 之前 說 東 區 沒落 變 鬼 城 的 出,0.0,0.0,0.0
來面 對 啊 我 每 次 去 都 一 堆人,0.1,0.0,1.35
繼 續 不立 法 照 市 價 持有 稅 呵呵 藍 綠 立委 都,0.07142857142857142,0.0,1.25
要 靠 金主 養 啊,0.0,0.0,0.0
這些 人 就 在 拖垮 台灣 啊,0.0,0.14285714285714285,0.5
說 本事 的 那 要 培養 什麼 專業 才 有 月 收 千,0.0,0.0,0.0
一千萬,0.0,0.0,0.0
幹你娘 垃圾 政府 一 堆 房東 躺著 就 能 過 好,0.09090909090909091,0.09090909090909091,1.75
日子 有 些 人 拼 了 半 條命 在 工 作 只 能 糊 口,0.0,0.0,0.0
幹,0.0,1.0,0.0
經濟 最 大 阻礙,0.0,0.25,0.7
社 會 亂 源,0.0,0.25,0.65
連 家人 頭,0.0,0.0,0.0
貪 得無厭 的 人 還是 很多 耶,0.2857142857142857,0.14285714285714285,3.25
革命 第一 個 殺 地主 凌遲 一 刀 刀 砍,0.0,0.2,1.525
幹 嘛 降價 給 廢物 勞工 有 工 作,0.0,0.2222222222222222,0.475
反 正 房東 100 年 也 餓 不 死 奴隸 勞工 一 個,0.07692307692307693,0.15384615384615385,2.0
月 沒 工 作 收到 國民 年金 就 哇 哇 叫,0.18181818181818182,0.0,2.5
鬥 地主 打 土 豪,0.0,0.2,0.55
逢 甲 也 是 東西 越來越 難吃 汰換 率 也 高,0.0,0.09090909090909091,1.6
空屋 說 給 他 課 下去 就 對 了,0.1111111111111111,0.0,1.35
狗黨 炒房 八 年 把 台灣 搞 的 烏 煙 瘴 氣,0.0,0.0,0.0
這 稅 也 太 便宜,0.2,0.0,1.25
講 的 柯黑 買 得起 東 區 店面 咧 白癡,0.0,0.1,0.30000000000000004
人 家 躺著 不 做 事 就 月薪 千萬 反 觀 本板,0.0,0.0,0.0
一 個 月 買 一 間 房,0.0,0.0,0.0
東 區 很多 房東 都 是 兩 大 幫派 的,0.1,0.0,1.15
課 房東 税 應 該 越 重 越 好,0.1111111111111111,0.0,1.45
香 港 租金 房價 無限 上 升 的 結 果,0.0,0.0,0.0
每當 房價 上 升 各 產 業 的 成本 也 會 上 升,0.0,0.0,0.0
過 高 的 租金 會 扼殺 大 部份 的 實 業,0.0,0.09090909090909091,0.525
高 利潤 但 高 租金 利潤 就 是 全 部 跑去,0.18181818181818182,0.0,2.8
店 鋪 的 業 主 手 上 他 會 令 基層 勞工 的,0.0,0.0,0.0
薪 水 提升 嗎 不會 整 個 店 子 的 員工,0.09090909090909091,0.09090909090909091,2.0
薪 水 加起 來 都 不及 租金 的 一半,0.0,0.1111111111111111,0.30000000000000004
幹你娘 操 房東,0.0,0.3333333333333333,0.25
呵呵,1.0,0.0,1.25
乾月 收 一千萬,0.0,0.0,0.0
阿就 修 法 的自 己 都 有 空屋 所以 不會,0.0,0.1,0.75
一 堆 窮人 眼紅 嫉妒 呵呵 人 家 就 是 有 本事,0.08333333333333333,0.16666666666666666,2.5
啊 當初 台北 房價 便宜 的要 命 只要 肯 努力 人人,0.18181818181818182,0.0,2.7
買 得起 的 時 候 你 老爸 阿 公 在 幹 嘛 怎麼 不買,0.0,0.07142857142857142,0.0
房東 真的 hen 好 賺 躺著 睡 不用 做 事 每 個 月 月,0.07142857142857142,0.0,1.45
入 千萬 你 敢 嘴,0.0,0.0,0.0
羨慕 挑對 地方 蓋 房子 比 中 頭 彩 還 爽,0.18181818181818182,0.0,2.8
立委 不立 法 也 沒用 有錢 人 根本 不 怕,0.1,0.2,2.5
炒房 政府,0.0,0.0,0.0
文組,0.0,0.0,0.0
回 肛,0.0,0.0,0.0
奇怪 現 在 名嘴 跟 議員 都 比 醫生 還 懂 醫學,0.0,0.08333333333333333,0.8
有種 來比 開房 間 啊 我們 世 姦 肯定 電爆 柯,0.18181818181818182,0.0,2.8499999999999996
文哲,0.0,0.0,0.0
居然 在 大 刀 面 前 耍 關公 唉,0.0,0.1111111111111111,0.8999999999999999
北七 建商 跟 外科 醫生 辯 這 個,0.0,0.0,0.0
你 他媽 要是 沒有 前 幾 天 的 小丑 這些 白癡 還 在,0.0,0.15384615384615385,1.1500000000000001
亂 抹黑 ㄅ,0.0,0.6666666666666666,1.2000000000000002
真的 沒 專業 別 再 人 家 面 前 耍 刀 真的 很 爆 笑 xd,0.0625,0.0,1.45
開房 堅 本來 就 沒 什麼 料 只 會 大聲 而已,0.0,0.09090909090909091,0.8999999999999999
換 新 版本 4 好事 ㄅ,0.16666666666666666,0.0,1.4
四樓 開房 間 洪 醫師 不會 輸 真心 不騙,0.1111111111111111,0.2222222222222222,2.75
不讀 書 不 尊重 專業 沒有 良心,0.2857142857142857,0.14285714285714285,3.55
綠 共黨 員 當官 越來越 不查 證 名嘴 真 好,0.1,0.0,1.45
叫 蔡璧如 都 能 電爆 恰吉,0.0,0.0,0.0
現 在 要 檢討台 大使 用 葉克膜 本 身 了 唷 dpp 的 下,0.0,0.0,0.0
限 就 是 沒有 下限,0.0,0.2,0.8500000000000001
一 個 只 會幹 樁 腳 女兒 的 人 談 醫療 ㄏ,0.0,0.0,0.0
在 醫師 面 前 談 醫療 該 看病 了,0.0,0.0,0.0
阿宅 表情 超好 笑,0.25,0.0,1.45
1248 秒 洪浩 雲,0.0,0.0,0.0
笑死,1.0,0.0,1.1
蔡 壁 如 的確 是 有 辦 法 電爆 啦 好歹 也 是,0.07692307692307693,0.0,1.05
在 旁邊 那麼 久,0.0,0.0,0.0
有種 我們 聊 摩 鐵 啊 開房 堅 電爆 泥,0.1,0.0,1.4
王 世 堅 算好 的 了 知道 錯 就 閉嘴,0.1,0.1,1.6
洪 醫生 一 直 都 在 憋 笑 世 堅 蠢 到 連 這 都 打,0.0625,0.125,2.5
遇到 周玉蔻 那 種 就 開 始 插嘴 道 你 講 不下 去,0.0,0.15384615384615385,2.5
不 王 世 堅 被 打臉 改天 到別 台 還是 繼 續 扯,0.0,0.0,0.0
上班 公車 秀 就 是 例子,0.0,0.0,0.0
洪 跟 王 兩 個 應 該 很 麻 吉 啊,0.0,0.0,0.0
文組 被 醫生 嘴 嗎,0.0,0.0,0.0
所以 現 在 又 開 始 拿 一 張 表 在 亂扯 了 阿,0.0,0.07142857142857142,0.725
他 什麼 黨 民進黨 在 跟 我 說 民進黨 沒 介入,0.0,0.0,0.0
操 根本 亂 打 不知 道 的 事 情 拿出 來亂 講,0.0,0.3333333333333333,2.35
我 幹你娘 民進黨,0.0,0.0,0.0
王 就 是 個 小丑,0.0,0.0,0.0
還 什麼 金主 挖哩 做 表格 完要 做對 價 了 嗎,0.0,0.0,0.0
這 個 議 題 根本 不 是 空心菜 多少 錢 的 議 題,0.0,0.0,0.0
你 看看 他 的 質詢 簡 直 是 個 笑話 丟盡 台灣,0.08333333333333333,0.0,1.2
不 就 知識 不 對 等,0.3333333333333333,0.0,2.75
人 的 臉面,0.0,0.0,0.0
拿 以前 的 葉克膜 比 現 在 的 葉克膜,0.0,0.0,0.0
原 來 葉克膜 真的 那麼 容易 上 手 台灣 要變 葉 克,0.08333333333333333,0.0,1.15
再 切 啊 民進黨 幹你娘,0.0,0.0,0.0
膜 王 國 了 嗎,0.0,0.0,0.0
只 會幹 樁 腳 女兒 的 垃圾 口,0.0,0.125,0.30000000000000004
人數 都 差 不多,0.0,0.25,0.6
人 家 洪 醫師 看小 丑 表演 在 笑 有人 看 的 好 氣,0.14285714285714285,0.0,2.9
洪浩 雲 很 討厭 柯 不過 踩 到 醫生 這 塊,0.0,0.09090909090909091,0.4
私 得有 問題 的 跟 人 家 談 醫德,0.0,0.1111111111111111,0.8500000000000001
王 世 堅 不 在 床上 時 都 在 練 蕭 威,0.0,0.0,0.0
幫 柯 電電 一 堆 垃圾 也 不意 外,0.0,0.1111111111111111,0.30000000000000004
世 姦 整 個 打臉 鄭朝方 耶,0.14285714285714285,0.0,1.55
呵呵 每 個 都 大外 行 在 嗆 大 行 家,0.09090909090909091,0.0,1.25
私德 有 問題 的 跟 人 家 談 醫德,0.0,0.1111111111111111,0.8500000000000001
說 好 的 不 是 dpp 背後 指使,0.125,0.0,1.45
知識 不 對 等 可以 不要 拿 這 個 抹黑 胡扯 半,0.16666666666666666,0.25,4.55
天 被 打臉 用 知識 不 對 等 當作 藉口 不 是 給 人,0.14285714285714285,0.07142857142857142,3.4
當 笑話 看,0.3333333333333333,0.0,1.2
dppㄧ 直 打 這 個 有意義 嗎,0.14285714285714285,0.14285714285714285,1.975
dpp 這 隻 真的 蠢 到 有 剩 xd,0.0,0.1111111111111111,0.5
連 本 業 都 輸 洪 怎麼 打 葉克膜,0.0,0.2222222222222222,1.05
王 世 堅 從 頭 到尾 就 是 笑話 不然 洪 醫生 的 表,0.07142857142857142,0.0,1.2
情 是 什麼,0.0,0.0,0.0
資進黨 又 要 切 割 了,0.0,0.0,0.0
廢物 王 世 堅,0.0,0.25,0.475
dpp 個人 行 為 啦,0.0,0.0,0.0
笑 爛,0.5,0.5,1.9
垃圾 dpp 再嘴 啊,0.0,0.25,0.30000000000000004
白痴 不 尊重 專業,0.25,0.25,1.7999999999999998
臉 好 腫,0.3333333333333333,0.0,1.45
電爆 有 什麼 好 開心 的 無恥 自由 時報,0.3333333333333333,0.0,4.4
還是 可以 亂下 標,0.0,0.0,0.0
有夠 廢,0.0,0.0,0.0
ゴ ミ だ な,0.0,0.0,0.0
所以 洪耀 福 要 不要 解釋 一下 這 跟 dpp 有 沒有,0.0,0.16666666666666666,1.6
關 整 個黨 都 在 那邊 唬 爛,0.0,0.125,0.44999999999999996
支持 柯p 就 是 要拒 投 大小 綠政 客,0.1111111111111111,0.0,1.55
真 白癡 經驗 傳 承 當然 越來越 好 政 客 就 是 政 客,0.21428571428571427,0.07142857142857142,3.95
有夠 丟臉,0.0,0.5,0.5
老 王 就 法 克 膜 的 專家 質疑 葉克膜 合理,0.18181818181818182,0.09090909090909091,3.1500000000000004
恰吉 沒 什麼 好怕 丟臉 他 只要 講出 關,0.0,0.1111111111111111,0.5
鍵句 讓 新 聞 下標,0.0,0.0,0.0
整 個 論點 的 邏輯 錯誤 根本 沒 人 在意,0.1,0.1,2.6
目標 受 群 不同 呀,0.0,0.0,0.0
比 數字 就 會 有 這 種 盲點 王 世 堅 被 電 也 是 活該,0.0,0.0625,0.9750000000000001
民進黨 都 這樣 人物,0.0,0.0,0.0
非 專業 裝 專業 攏 嘎 嘴 角 專 ㄆ,0.0,0.0,0.0
深 綠 族群 就 這 種 程度 啊,0.0,0.0,0.0
這 個 邏輯 就 等於 2008 之後 智慧 型 手機 快速,0.18181818181818182,0.0,2.6500000000000004
普遍 一定 是 因為 政黨 二 次 輪替 的 關係,0.0,0.0,0.0
為啥 要 在 醫生 旁 講 葉克膜 不覺 得 很蠢 嗎,0.0,0.0,0.0
癈到 笑,0.5,0.0,1.45
廢物,0.0,1.0,0.475
王 就 不 是 醫療 專業 洪 糾正 他 他 也,0.0,0.0,0.0
沒 硬 拗,0.0,0.0,0.0
智障 蚵 粉 高 潮 了 嗎,0.0,0.14285714285714285,0.44999999999999996
豬油 的 標 題 好 垃圾,0.16666666666666666,0.16666666666666666,1.75
波 波 都 屌 打 王 世 堅,0.0,0.125,0.55
一 直 在 打 柯 之前 醫生 的 專業 是 在 腦殘 什麼,0.0,0.07692307692307693,0.55
開房 間 的 專長 還是 去 開房 間 吧,0.0,0.0,0.0
無知 又 沒 良心,0.25,0.25,1.9
洪 又 出來 刷存 在感 了,0.0,0.0,0.0
紅 燒 了 你 敢 吃,0.0,0.0,0.0
一邊 說 1萬 跟 民進黨 無關 一邊 拼命 抹 呵呵,0.2,0.1,3.2
這 是 個人 行 為 與 本 黨 無關 xddd,0.0,0.1,0.8999999999999999
dpp 要 不要 切 割 王 世 堅 阿顆顆,0.0,0.1111111111111111,0.75
以前 騎 馬 到 高雄 要 3 天 現 在 坐高 鐵 只要 2 小,0.0,0.0,0.0
時 一定 是 偷懶,0.0,0.25,0.42500000000000004
民進黨 大敗 這些 人 都 是 該 被 檢 討 的 對象,0.0,0.0,0.0
牙醫 民代 名嘴 都 很 會用,0.0,0.0,0.0
這 垃圾 還能 當 不分區 綠 裡 面 只剩 垃圾 了,0.0,0.18181818181818182,0.6000000000000001
廢物 小丑 去 開房 間 好 嗎,0.14285714285714285,0.14285714285714285,1.9249999999999998
不要 一 直貼 王 世 堅 的 臉 啦 ww,0.0,0.1,0.75
跟 民進黨 無關 立馬 破功,0.0,0.2,0.8999999999999999
也 只 敢 在 dpp 票倉 選不 敢 進 市區 穩 輸,0.0,0.08333333333333333,0.5
